tactic,technique,Id,action_what,action_where,where_attribute,when,when_condition,when_object,why_state,why_what,why_where,how,how_what,how_where,precondition,postcondition,alternative_technique
Property,uco,cc,cc,cc,,,,,,,,,,,,,
Property,uco,certificateIssuer,certificate issuer,certificate issuer,,,,,,,,,,,,,
Property,uco,certificateSubject,certificate subject,certificate subject,,,,,,,,,,,,,
Property,uco,classification,classification,classification,,,,,,,,,,,,,
Property,uco,compilers,compilers,compilers,,,,,,,,,,,,,
Property,uco,configurationEntry,configuration entry,configuration entry,,,,,,,,,,,,,
Property,uco,contact,contact,contact,,,,,,,,,,,,,
Property,uco,contactAddress,contact address,contact address,,,,,,,,,,,,,
Property,uco,contactAffiliation,contact affiliation,contact affiliation,,,,,,,,,,,,,
Property,uco,contactEmail,contact email,contact email,,,,,,,,,,,,,
Property,uco,contactMessaging,contact messaging,contact messaging,,,,,,,,,,,,,
Property,uco,contactMessagingPlatform,contact messaging platform,contact messaging platform,,,,,,,,,,,,,
Property,uco,contactOrganization,contact organization,contact organization,,,,,,,,,,,,,
Property,uco,contactPhone,contact phone,contact phone,,,,,,,,,,,,,
Property,uco,contactPhoneNumber,contact phone number,contact phone number,,,,,,,,,,,,,
Property,uco,contactProfile,contact profile,contact profile,,,,,,,,,,,,,
Property,uco,contactProfilePlatform,contact profile platform,contact profile platform,,,,,,,,,,,,,
Property,uco,contactSIP,contact sip,contact sip,,,,,,,,,,,,,
Property,uco,contactURL,contact url,contact url,,,,,,,,,,,,,
Property,uco,cookieDomain,cookie domain,cookie domain,,,,,,,,,,,,,
Property,uco,createdBy,created by,created by,,,,,,,,,,,,,
Property,uco,creator,creator,creator,,,,,,,,,,,,,
Property,uco,creatorUser,creator user,creator user,,,,,,,,,,,,,
Property,uco,cyberAction,cyber action,cyber action,,,,,,,,,,,,,
Property,uco,dataPayloadReferenceURL,data payload reference url,data payload reference url,,,,,,,,,,,,,
Property,uco,definition,definition,definition,,,,,,,,,,,,,
Property,uco,dependencies,dependencies,dependencies,,,,,,,,,,,,,
Property,uco,dhcpServer,dhcp server,dhcp server,,,,,,,,,,,,,
Property,uco,documentInformationDictionary,document information dictionary,document information dictionary,,,,,,,,,,,,,
Property,uco,domainName,domain name,domain name,,,,,,,,,,,,,
Property,uco,dst,dst,dst,,,,,,,,,,,,,
Property,uco,dstPayload,dst payload,dst payload,,,,,,,,,,,,,
Property,uco,effectiveUser,effective user,effective user,,,,,,,,,,,,,
Property,uco,emailAddress,email address,email address,,,,,,,,,,,,,
Property,uco,entry,entry,entry,,,,,,,,,,,,,
Property,uco,environment,environment,environment,,,,,,,,,,,,,
Property,uco,environmentVariables,environment variables,environment variables,,,,,,,,,,,,,
Property,uco,error,error,error,,,,,,,,,,,,,
Property,uco,eventAttribute,event attribute,event attribute,,,,,,,,,,,,,
Property,uco,eventContext,event context,event context,,,,,,,,,,,,,
Property,uco,eventRecordDevice,event record device,event record device,,,,,,,,,,,,,
Property,uco,execProgramHashes,exec program hashes,exec program hashes,,,,,,,,,,,,,
Property,uco,exifData,exif data,exif data,,,,,,,,,,,,,
Property,uco,externalReference,external reference,external reference,,,,,,,,,,,,,
Property,uco,fileHeaderHashes,file header hashes,file header hashes,,,,,,,,,,,,,
Property,uco,from,from,from,,,,,,,,,,,,,
Property,uco,fromURLVisit,from url visit,from url visit,,,,,,,,,,,,,
Property,uco,geoLocationEntry,geo location entry,geo location entry,,,,,,,,,,,,,
Property,uco,geolocationAddress,geolocation address,geolocation address,,,,,,,,,,,,,
Property,uco,globalFlagList,global flag list,global flag list,,,,,,,,,,,,,
Property,uco,hasFacet,has facet,has facet,,,,,,,,,,,,,
Property,uco,hash,hash,hash,,,,,,,,,,,,,
Property,uco,hashes,hashes,hashes,,,,,,,,,,,,,
Property,uco,headerRaw,header raw,header raw,,,,,,,,,,,,,
Property,uco,host,host,host,,,,,,,,,,,,,
Property,uco,httpMessageBodyData,http message body data,http message body data,,,,,,,,,,,,,
Property,uco,httpRequestHeader,http request header,http request header,,,,,,,,,,,,,
Property,uco,iComHandlerAction,i com handler action,i com handler action,,,,,,,,,,,,,
Property,uco,iEmailAction,i email action,i email action,,,,,,,,,,,,,
Property,uco,iExecAction,i exec action,i exec action,,,,,,,,,,,,,
Property,uco,iShowMessageAction,i show message action,i show message action,,,,,,,,,,,,,
Property,uco,inetLocation,inet location,inet location,,,,,,,,,,,,,
Property,uco,installedVersionHistory,installed version history,installed version history,,,,,,,,,,,,,
Property,uco,instrument,instrument,instrument,,,,,,,,,,,,,
Property,uco,ip,ip,ip,,,,,,,,,,,,,
Property,uco,ipAddress,ip address,ip address,,,,,,,,,,,,,
Property,uco,ipGateway,ip gateway,ip gateway,,,,,,,,,,,,,
Property,uco,ipfix,ipfix,ipfix,,,,,,,,,,,,,
Property,uco,isConfigurationOf,is configuration of,is configuration of,,,,,,,,,,,,,
Property,uco,issuerHash,issuer hash,issuer hash,,,,,,,,,,,,,
Property,uco,itemObject,item object,item object,,,,,,,,,,,,,
Property,uco,libraries,libraries,libraries,,,,,,,,,,,,,
Property,uco,location,location,location,,,,,,,,,,,,,
Property,uco,macAddress,mac address,mac address,,,,,,,,,,,,,
Property,uco,manufacturer,manufacturer,manufacturer,,,,,,,,,,,,,
Property,uco,marking,marking,marking,,,,,,,,,,,,,
Property,uco,messageThread,message thread,message thread,,,,,,,,,,,,,
Property,uco,messagingAddress,messaging address,messaging address,,,,,,,,,,,,,
Property,uco,nameServer,name server,name server,,,,,,,,,,,,,
Property,uco,networkInterface,network interface,network interface,,,,,,,,,,,,,
Property,uco,newObject,new object,new object,,,,,,,,,,,,,
Property,uco,object,object,object,,,,,,,,,,,,,
Property,uco,objectMarking,object marking,object marking,,,,,,,,,,,,,
Property,uco,oldObject,old object,old object,,,,,,,,,,,,,
Property,uco,operatingSystem,operating system,operating system,,,,,,,,,,,,,
Property,uco,optionalHeader,optional header,optional header,,,,,,,,,,,,,
Property,uco,organizationLocation,organization location,organization location,,,,,,,,,,,,,
Property,uco,originatingAnalysis,originating analysis,originating analysis,,,,,,,,,,,,,
Property,uco,otherHeaders,other headers,other headers,,,,,,,,,,,,,
Property,uco,owner,owner,owner,,,,,,,,,,,,,
Property,uco,parent,parent,parent,,,,,,,,,,,,,
Property,uco,participant,participant,participant,,,,,,,,,,,,,
Property,uco,partition,partition,partition,,,,,,,,,,,,,
Property,uco,performer,performer,performer,,,,,,,,,,,,,
Property,uco,phase,phase,phase,,,,,,,,,,,,,
Property,uco,profile,profile,profile,,,,,,,,,,,,,
Property,uco,profileAccount,profile account,profile account,,,,,,,,,,,,,
Property,uco,profileBackgroundHash,profile background hash,profile background hash,,,,,,,,,,,,,
Property,uco,profileBackgroundLocation,profile background location,profile background location,,,,,,,,,,,,,
Property,uco,profileBannerHash,profile banner hash,profile banner hash,,,,,,,,,,,,,
Property,uco,profileBannerLocation,profile banner location,profile banner location,,,,,,,,,,,,,
Property,uco,profileIdentity,profile identity,profile identity,,,,,,,,,,,,,
Property,uco,profileImageHash,profile image hash,profile image hash,,,,,,,,,,,,,
Property,uco,profileImageLocation,profile image location,profile image location,,,,,,,,,,,,,
Property,uco,profileService,profile service,profile service,,,,,,,,,,,,,
Property,uco,profileWebsite,profile website,profile website,,,,,,,,,,,,,
Property,uco,protocols,protocols,protocols,,,,,,,,,,,,,
Property,uco,references,references,references,,,,,,,,,,,,,
Property,uco,referralURL,referral url,referral url,,,,,,,,,,,,,
Property,uco,referrerUrl,referrer url,referrer url,,,,,,,,,,,,,
Property,uco,registeredOrganization,registered organization,registered organization,,,,,,,,,,,,,
Property,uco,registeredOwner,registered owner,registered owner,,,,,,,,,,,,,
Property,uco,registrantContactInfo,registrant contact info,registrant contact info,,,,,,,,,,,,,
Property,uco,registrarInfo,registrar info,registrar info,,,,,,,,,,,,,
Property,uco,registryValues,registry values,registry values,,,,,,,,,,,,,
Property,uco,result,result,result,,,,,,,,,,,,,
Property,uco,resultContent,result content,result content,,,,,,,,,,,,,
Property,uco,sections,sections,sections,,,,,,,,,,,,,
Property,uco,sender,sender,sender,,,,,,,,,,,,,
Property,uco,serverName,server name,server name,,,,,,,,,,,,,
Property,uco,sipAddress,sip address,sip address,,,,,,,,,,,,,
Property,uco,source,source,source,,,,,,,,,,,,,
Property,uco,sourceApplication,source application,source application,,,,,,,,,,,,,
Property,uco,src,src,src,,,,,,,,,,,,,
Property,uco,srcPayload,src payload,src payload,,,,,,,,,,,,,
Property,uco,startupInfo,startup info,startup info,,,,,,,,,,,,,
Property,uco,strings,strings,strings,,,,,,,,,,,,,
Property,uco,subaction,subaction,subaction,,,,,,,,,,,,,
Property,uco,subjectHash,subject hash,subject hash,,,,,,,,,,,,,
Property,uco,target,target,target,,,,,,,,,,,,,
Property,uco,targetFile,target file,target file,,,,,,,,,,,,,
Property,uco,threadNextItem,thread next item,thread next item,,,,,,,,,,,,,
Property,uco,threadOriginItem,thread origin item,thread origin item,,,,,,,,,,,,,
Property,uco,threadPredecessor,thread predecessor,thread predecessor,,,,,,,,,,,,,
Property,uco,threadPreviousItem,thread previous item,thread previous item,,,,,,,,,,,,,
Property,uco,threadSuccessor,thread successor,thread successor,,,,,,,,,,,,,
Property,uco,threadTerminalItem,thread terminal item,thread terminal item,,,,,,,,,,,,,
Property,uco,thumbprintHash,thumbprint hash,thumbprint hash,,,,,,,,,,,,,
Property,uco,to,to,to,,,,,,,,,,,,,
Property,uco,triggerList,trigger list,trigger list,,,,,,,,,,,,,
Property,uco,url,url,url,,,,,,,,,,,,,
Property,uco,urlHistoryEntry,url history entry,url history entry,,,,,,,,,,,,,
Property,uco,usesConfiguration,uses configuration,uses configuration,,,,,,,,,,,,,
Property,uco,volume,volume,volume,,,,,,,,,,,,,
Property,uco,whoisServer,whois server,whois server,,,,,,,,,,,,,
Property,uco,windowsDirectory,windows directory,windows directory,,,,,,,,,,,,,
Property,uco,windowsSystemDirectory,windows system directory,windows system directory,,,,,,,,,,,,,
Property,uco,windowsTempDirectory,windows temp directory,windows temp directory,,,,,,,,,,,,,
Property,uco,workItemData,work item data,work item data,,,,,,,,,,,,,
Property,uco,workingDirectory,working directory,working directory,,,,,,,,,,,,,
Property,uco,x509v3extensions,x509v3extensions,x509v3extensions,,,,,,,,,,,,,
Property,uco,xOriginatingIP,x originating ip,x originating ip,,,,,,,,,,,,,
